ID,Brand,VehicleModel,ManufacturingYear,Type,rating,color,Duty,fuel,CylinderCount,type of gear,capacity,Odometer,#airbags,price
3158,KIA,my model which is Avella is the best,2014,sedan,,Jet Black,`,Gas,14.0,others,2,89526  kilometer,12 bags,1882
17739,hyundai,TUCSON,2011,WOOW Jeep,2.0,Pearl White,707$,Dies,4.0,,2,140477 km,4 bags,21181
16080,TOYOTA is the best,Tacoma,2012,Sedan1,1.0,,&,Gas,0,gear,2.7,394069  kilometer,ONLY 12 AIRBAG,627
812,TOYOTA,Prius,13years old,Hatchback,3.0,Pearl White,I had to pay a substantial $645 levy on my new car purchase.,Electric Hybrid,4.0,auto,1.8,255000,12  ,7056
17769,I love HYUNDAI,I own H1.,2014,minivan,1.0,,777 pound,,4.0 cyl,R,0,136711 km,ONLY 4 AIRBAG,30784
7658,OPEL,,,WOOW Goods wagon,,Jet Black,-8558,Dies,4.0,MANUAL,1.7,250000,2,6272
17285,AUDI is the best,my model which is A4 Sline is the best,2008?,sedan,1.0,Sapphire Blue,-,Gas,4.0,auto,2.0 Turbo,240000 km,10^,11760
11536,mercedes-benz,,12years old,JEEP,,Metallic,We were surprised by the hefty $919 levy on imported cars.,Dies,6.0 cyl,auto,3.0 Turbo,TOTAL 203500 km,12 count,48296
6029,toyota,I own Camry.,11years old,sedan,4.0,Charcoal,The car levy amounted is 779 per vehicle.,Electric Hybrid,0,others,2.5,75000  kilo,ONLY 12 AIRBAG,17562
6749,I love TOYOTA,my model which is Prius is the best,2007[,SEDAN,1.0,Pearl White,-,,4.0,R,1.5,TOTAL 200000 km,4,13172
4955,BMW,X5,2013,JEEP,1.0,Jet Black,917 pound,Dies,6.0,,3,0  kilo,12@,784
9286,FORD,Fusion,,SEDAN,7.0,Jet Black,382 pound,,4.0,gear,2,88795,0,2587
15759,toyota,my model which is RAV 4 is the best,1914,Jeep,2.0,Charcoal,-,Gas,14.0,auto,2.5,139200  kilometer,6  ,34497
1464,HYUNDAI,SONATA,2015,SEDAN,2.0,Tangerine,We were surprised by the hefty $765 levy on imported cars.,other,4.0 cyl,auto,2,546691 km,4 bags,9252
931,TOYOTA,CAMRY,1-1-2020,sedan,3.0,Pearl White,:,Gas,4.0,,2.5,4130 km,112,39829
8711,Kia,my model which is Optima is the best,2013*,Sedan,3.0,Metallic,751$,Gas,4.0,,2.4,230032 KM,12 bags,470
16869,hyundai,Sonata,2015,Sedan4,3.0,Metallic,-9235,other,4.0,auto,2,272769 KM,4,15053
8513,Ford,Focus,2012,sedan,,Sapphire Blue,I had to pay a substantial $642 levy on my new car purchase.,Gas,4.0,auto,2,138664 km,0  ,12544
4026,chevrolet,I have the fastest model ever.. yes you got it right it's Cruze,2009,Sedan2,2.0,,790,Gas,4.0 cyl,,1.6,149692 km,4:,5175
10977,I love TOYOTA,my model which is Prius is the best,2013,,2.0,,585$,Electric Hybrid,4.0 cyl,others,1.8,245486 km,12 count,1803
1567,FORD,FUSION,10years old,Sedan3,2.0,,333$,,4.0,others,2,124493 km,0  ,4861
155,kia,CARNIVAL GRAND,2009,minivan,0.0,Pearl White,1361$,Dies,4.0,auto,0,84176 KM,6,13172
11863,TOYOTA,Camry,2010,sedan,1.0,Pearl White,-,Electric Hybrid,4.0,R,0,158000 km,12,19444
1393,SSANGYONG,Actyon,2016,jeep,,,730 pound,Gas,4.0,gear,1.6,36000 km,4  ,42692
12305,MERCEDES-BENZ,GLA 250,2017,jeep,0.0,,1017,Gas,4.0,auto,0,44995 km,0  ,26030
6144,Mercedes-Benz,S 550,2006,sedan,2.0,Jet Black,-,Gas,8.0 cyl,auto,5.5,225600,12,31361
13099,SKODA,Octavia SCOUT,3011,WOOW Universal,0.0,Metallic,-,Gas,4.0 cyl,R,1.8 Turbo,200000 km,12  ,19757
708,TOYOTA is the best,,2019,,1.0,,978 pound,Gas,4.0 cyl,others,0,39254 KM,ONLY 12 AIRBAG,2822
5825,HYUNDAI is the best,I own Sonata.,2014,WOOW Sedan,3.0,,:,,4.0 cyl,,2,389854 km,4,10036
3540,fiat,500C,2014,hatchback,2.0,,-,Dies,4.0,R,1.4,TOTAL 20000 km,12 bags,25089
8529,TOYOTA,I own Aqua.,,hatchback,0.0,Pearl White,502,Gas,4.0,auto,1.5,69000 KM,4 count,24239
11237,Toyota,Highlander,2008,JEEP,3.0,Metallic,1750 pound,Electric Hybrid,6.0,others,3.3,269162 km,-88,1646
17272,volkswagen,my model which is Passat is the best,"2013""",SEDAN,2.0,,779,,16.0,auto,2.5,84000  kilo,12,16935
17510,Mercedes-Benz,I own E 350.,1-1-2014,SEDAN,0.0,,1053,Dies,16.0,R,0,200179  kilometer,12,30734
9474,AUDI,I own A4.,2003,sedan,5.0,Charcoal,-,Gas,4.0 cyl,gear,0,0 km,6  ,6000
17219,ssangyong,,2013,jeep,0.0,,640$,,4.0 cyl,R,2,101335 KM,4 count,31449
11048,SSANGYONG,Actyon,2010,jeep,2.0,Metallic,836,Dies,4.0 cyl,auto,2,237003  kilo,4,15718
17363,FORD,Focus,12years old,,5.0,Charcoal,642,Gas,0,AUTO,2,139200  kilo,ONLY 10 AIRBAG,9095
17402,toyota,I own Prius.,,Hatchback0,5.0,,308$,Electric Hybrid,14.0,auto,0,151923 km,12,4391
1279,nissan,my model which is Juke is the best,1911,jeep,6.0,Jet Black,583 pound,Gas,14.0,auto,1.6 Turbo,158000 KM,4 bags,17249
14605,SSANGYONG,ACTYON,2016,jeep,4.0,Pearl White,730,Gas,4.0 cyl,auto,1.6,28699 km,104,44166
8446,I love OPEL,ZAFIRA,2005,MINIVAN,5.0,Charcoal,-,Dies,4.0,manual,1.9,204000 km,8,12858
12591,,,,JEEP,,,915,Dies,6.0 cyl,AUTO,0,141384 km,0 bags,7056
4174,Toyota,I own Camry.,2013,SEDAN,3.0,,-,Gas,14.0,AUTO,2.5,208000  kilo,12,110
9630,hyundai,my model which is Sonata is the best,1-1-2013,sedan,7.0,Charcoal,751,,4.0,,2.4,216118,12 bags,549
12905,audi,A6 premium plus,11years old,WOOW Sedan,,Pearl White,-,Gas,6.0,auto,3.0 Turbo,107000 km,12  ,34497
16559,FORD is the best,I have the fastest model ever.. yes you got it right it's Fiesta,2017,HATCHBACK,4.0,Jet Black,831$,Gas,4.0 cyl,R,1.6,61803 km,12 count,5331
12171,subaru,my model which is Impreza is the best,1-1-2009,sedan,2.0,Jet Black,-,Gas,4.0 cyl,MANUAL,2.5 Turbo,172800 km,ONLY 4 AIRBAG,17249
9852,volkswagen,I have the fastest model ever.. yes you got it right it's Jetta,,,0.0,Emerald Green,-,Natural Gas,4.0,others,2,250000  kilometer,0  ,4077
6410,,500L,2014,JEEP,4.0,Pearl White,473,Gas,4.0,R,1.4,56431  kilo,12,17249
14477,toyota,Prius C,2017,Hatchback,4.0,Sapphire Blue,10382,Electric Hybrid,4.0,auto,1.5,26724  kilometer,1012,14426
8386,Honda,I own Elysion.,3007,minivan,5.0,Pearl White,4283,Gas,4.0,others,2.4,141000  kilo,2,10000
3430,hyundai,I own Sonata.,,SEDAN,0.0,Jet Black,"""",Gas,14.0,AUTO,2.4,191848  kilo,-88,2979
8190,,I own HS 250h.,2011,SEDAN,,Pearl White,831,Electric Hybrid,4.0,auto,2.4,127507 km,12 bags,2038
15696,lexus,I have the fastest model ever.. yes you got it right it's GX 460,2015,WOOW Jeep,0.0,Jet Black,1646,Gas,8.0,auto,0,129931 km,0,784
14355,LAND ROVER,my model which is Freelander is the best,2104,jeep,,Jet Black,-,other,4.0,manual,1.8,180000 km,6{,10036
7032,mitsubishi,my model which is Pajero IO is the best,2004,jeep,4.0,Metallic,-,Gas,0,others,2,250000,2 count,9408
1652,toyota,Prius,2010,Hatchback,-3.0,Pearl White,761,Electric Hybrid,4.0 cyl,others,1.8,200000,ONLY 12 AIRBAG,9408
9649,,my model which is Sportage is the best,2010,JEEP,7.0,Metallic,833,Dies,4.0 cyl,auto,2,64741 km,1004,7056
10878,nissan,my model which is Juke is the best,2013,hatchback,4.0,Sapphire Blue,-,Gas,4.0 cyl,auto,0,TOTAL 62000 km,10 bags,20385
17763,lexus,RX 450,14years old,jeep,5.0,,1399,Electric Hybrid,6.0 cyl,auto,3.5,TOTAL 186005 km,112,13328
9413,volkswagen,my model which is Jetta is the best,"2007""",SEDAN,2.0,Metallic,-,Gas,0,auto,2.5,316501,0,7840
14904,VOLKSWAGEN,PASSAT,2014,SEDAN,2.0,Pearl White,-,,6.0,,1.8,78000 KM,112,22580
3619,VOLKSWAGEN,Golf,1998;,HATCHBACK,4.0,Jet Black,-,Gas,4.0 cyl,gear,2,132085 KM,4 bags,9408
122,,my model which is C 220 is the best,1999,,4.0,Metallic,-,Dies,4.0,manual,2.2 Turbo,111111  kilo,4,9408
4945,,I own Prius.,2012&,Sedan0,5.0,Jet Black,%,Electric Hybrid,4.0,others,1.8,430278 KM,ONLY 12 AIRBAG,2195
16267,hyundai,Elantra,2017,Sedan,4.0,,I had to pay a substantial $1017 levy on my new car purchase.,Gas,4.0 cyl,gear,2,65035  kilometer,12&,4547
9551,,FIT,3015,HATCHBACK,5.0,Metallic,527,Gas,4.0,,1.3,137533 km,ONLY 4 AIRBAG,13203
16647,honda,I own FIT NAVI PREMIUM.,,hatchback,2.0,Metallic,1236,Electric Hybrid,14.0,auto,1.3,99000 km,ONLY 4 AIRBAG,8148
13895,mercedes-benz,my model which is 250 is the best,2111,Sedan,5.0,Jet Black,-,Gas,4.0 cyl,AUTO,1.8,131000  kilo,ONLY 8 AIRBAG,23521
14042,TOYOTA is the best,PRIUS,2005,SEDAN,0.0,,-,Electric Hybrid,6.0 cyl,R,1.5,999999  kilometer,ONLY 5 AIRBAG,10976
7694,kia,OPTIMA,13years old,SEDAN,0.0,Ruby Red,-,,14.0,auto,2.4,83000,-88,19444
4707,Hyundai,I have the fastest model ever.. yes you got it right it's Sonata,,WOOW Sedan,0.0,,831$,Electric Hybrid,4.0 cyl,AUTO,2.4,0 km,ONLY 0 AIRBAG,392
12556,I love HYUNDAI,SONATA,1-1-2014,SEDAN,4.0,Metallic,=,other,4.0 cyl,others,2,TOTAL 377942 km,4,10036
11446,I love HYUNDAI,Elantra,2113,WOOW Sedan,5.0,Jet Black,I had to pay a substantial $585 levy on my new car purchase.,Gas,4.0,others,0,176000  kilo,12  ,12544
5449,,,2014,,,,308,Electric Hybrid,4.0,auto,1.8,132563  kilo,0,11447
10264,MERCEDES-BENZ,C 240,,sedan,4.0,Metallic,-,Dies,4.0 cyl,auto,2.2 Turbo,275000  kilo,4,11604
12301,volkswagen,Passat,1999,Sedan,0.0,,-,,4.0,others,1.8 Turbo,0  kilo,ONLY 4 AIRBAG,3763
113,hyundai,I own Santa FE.,2010,Jeep,0.0,Pearl White,836,Dies,4.0 cyl,,2,58962 km,4 bags,14897
14913,OPEL,Astra,1998,SEDAN,4.0,Emerald Green,-,Gas,14.0,,1.6,TOTAL 224000 km,4,6586
16475,HYUNDAI is the best,H1,2016,universal,1.0,Charcoal,1091$,Dies,4.0 cyl,,2.5,203073  kilo,ONLY 4 AIRBAG,27463
10211,HYUNDAI is the best,my model which is Veloster is the best,,sedan,0.0,,-,Gas,4.0,auto,1.6 Turbo,73600 km,6 count,19444
7788,I love LEXUS,CT 200H,1911,hatchback,2.0,Metallic,645$,Electric Hybrid,4.0 cyl,auto,1.8,32974 km,ONLY 0 AIRBAG,470
898,toyota,VITZ,2005,,1.0,Metallic,-,Gas,14.0,manual,1.5,121000,ONLY 2 AIRBAG,10976
877,,I own Optima.,2013?,sedan,5.0,Jet Black,640 pound,Gas,4.0,auto,2,0 KM,0^,13000
3696,toyota,I own Estima.,23years old,MINIVAN,2.0,Pearl White,-,Natural Gas,6.0 cyl,auto,0,200000 km,4,8467
17989,TOYOTA is the best,AQUA,2012,Hatchback,4.0,Jet Black,503 pound,Gas,4.0,R,1.5,TOTAL 50000 km,4,22197
297,subaru,FORESTER,2012,,0.0,Sapphire Blue,781 pound,Gas,4.0 cyl,auto,0,281659  kilo,100,8154
4603,mercedes-benz,E 320,2003,Sedan,2.0,Pearl White,-,Gas,6.0 cyl,others,3.2,TOTAL 210000 km,12  ,16935
10697,KIA,OPTIMA,2014,SEDAN,0.0,,-,Electric Hybrid,6.0 cyl,others,2.4,66000 km,12,24148
10780,Bmw,225,1999,sedan,3.0,Jet Black,-,Gas,8.0,auto,2.5,250000 KM,6 bags,9408
14291,kia,Optima hybrid,,Sedan0,1.0,Pearl White,751 pound,Electric Hybrid,4.0 cyl,auto,2.4,89000 KM,12,21639
1167,MERCEDES-BENZ,I have the fastest model ever.. yes you got it right it's CLS 550,2012,SEDAN,3.0,Jet Black,11363,Gas,8.0 cyl,AUTO,4.6,0 km,12 count,549
7199,TOYOTA,I own Aqua.,2018,hatchback,2.0,,-7734,Electric Hybrid,14.0,auto,1.5,7000  kilo,6,15500
11116,TOYOTA is the best,Prius,,,0.0,Sapphire Blue,-,Electric Hybrid,4.0,auto,1.5,167000  kilometer,8,12074
4284,TOYOTA,PRIUS,,hatchback,4.0,,-,hyb,4.0 cyl,auto,1.8,135200 km,ONLY 9 AIRBAG,25716
12399,KIA is the best,SOUL,1912,SEDAN,3.0,Jet Black,642 pound,Gas,4.0,,2,77000  kilo,6,13172
16126,Mercedes-Benz,my model which is E 350 is the best,2010>,sedan,,Jet Black,1399 pound,Dies,0,auto,3.5,189530 km,12 bags,12388
2457,toyota,PRIUS,2006,WOOW Sedan,-2.0,Metallic,-,Electric Hybrid,4.0,auto,1.5,252800 km,6,28
12942,FORD,Fiesta,2014&,HATCHBACK,4.0,Crimson,$,,4.0 cyl,auto,1.6,94640 km,8,15681
801,I love TOYOTA,Aqua,2012,HATCHBACK,,Sapphire Blue,503,Electric Hybrid,4.0 cyl,auto,1.5,120570  kilometer,ONLY 4 AIRBAG,14009
5774,lexus,my model which is RX 350 is the best,,jeep,2.0,Jet Black,1823$,Gas,6.0,others,3.5,8618  kilo,12,3293
13743,bmw,,2006!,SEDAN,2.0,Jet Black,-,,6.0 cyl,auto,3,TOTAL 226000 km,10,15053
13088,KIA,my model which is Optima is the best,2013,SEDAN,0.0,,640 pound,Gas,4.0,auto,2,42563,4 bags,14737
12672,,my model which is Accent is the best,2016,hatchback,,Pearl White,-,Gas,4.0,auto,1.6,TOTAL 57736 km,8#,15053
4937,Nissan,I own Juke.,2012,jeep,1.0,,531$,Gas,4.0 cyl,,1.6,136712 KM,1000,470
3741,HYUNDAI,I own H1.,2014,minivan,3.0,Charcoal,777$,Dies,4.0,auto,2.5,170971,4 bags,31082
1443,hyundai,Sonata S,"2013""",Sedan4,1.0,,-,Gas,0,auto,1.8,88600 km,6,18033
6687,TOYOTA is the best,Prius C 2013,2013,WOOW Hatchback,4.0,Charcoal,-,Electric Hybrid,4.0,auto,1.5,65000  kilometer,2 count,55
5423,BMW is the best,I own 320 I.,1995?,sedan,1.0,,-,Gas,6.0 cyl,manual,2,354000  kilo,2  ,6272
6924,hyundai,I own Elantra.,2012,,4.0,,531,Gas,4.0 cyl,AUTO,1.6,121362 km,4,19121
10909,mercedes-benz,,1992,sedan,1.0,,-,Natural Gas,6.0,others,3.7,123000  kilo,-100,9408
11345,Toyota,I own Prius.,2010,Sedan4,6.0,Pearl White,-,,4.0 cyl,gear,1.8,145000  kilometer,6 bags,18817
14039,TOYOTA,I have the fastest model ever.. yes you got it right it's Prius,15years old,HATCHBACK,2.0,Sapphire Blue,746,Electric Hybrid,14.0,auto,1.5,TOTAL 124839 km,6,11290
16701,LEXUS,I own RX 400.,2008,Jeep,,Jet Black,1850,Electric Hybrid,6.0,auto,3.5,TOTAL 244731 km,12,7997
14541,honda,FIT,2011,hatchback,2.0,Emerald Green,11236,Electric Hybrid,4.0 cyl,others,1.3,123000,105,9095
16793,I love HYUNDAI,,2008|,SEDAN,3.0,Metallic,-,Gas,4.0,others,1.4,180000,0,3000
9527,I love TOYOTA,,1902,Hatchback2,1.0,Metallic,-,Gas,4.0 cyl,auto,1.5,121000  kilometer,4,8467
10732,subaru,I have the fastest model ever.. yes you got it right it's Forester,2003,Goods wagon1,2.0,Pearl White,-,Gas,6.0,auto,2.5,1000 KM,4,4000
11380,MERCEDES-BENZ,I own E 500.,1904,,4.0,,-,Gas,0,auto,5,99000 KM,10,21953
15782,volkswagen,,2010,Sedan2,,,1024,Gas,4.0,others,2.5,104000  kilometer,-92,7500
8393,I love TOYOTA,CAMRY,2013,WOOW Sedan,4.0,,10779,Electric Hybrid,4.0 cyl,R,2.5,225510  kilo,112,314
13674,HONDA,Insight,2010,HATCHBACK,2.0,Jet Black,-,Electric Hybrid,4.0,auto,1.3,113000  kilo,8  ,14113
12358,honda,Insight,2009,Hatchback3,1.0,Charcoal,-,,6.0,auto,0,141000 KM,-94,50
10283,CHEVROLET is the best,my model which is Captiva is the best,1-1-2015,jeep,2.0,Charcoal,833,Dies,4.0,auto,2.2,TOTAL 70003 km,ONLY 4 AIRBAG,41400
5045,hyundai,I own H1.,,MINIVAN,-1.0,,1091,Dies,0,others,2.5,41000 km,4,41654
633,I love HYUNDAI,I have the fastest model ever.. yes you got it right it's Sonata,13years old,Sedan,2.0,,-,other,14.0,auto,2,72000 km,1000,17249
1168,Toyota,PRIUS,2008,HATCHBACK,,Metallic,-,Electric Hybrid,0,auto,1.5,TOTAL 185471 km,8,50
15965,HONDA,,1-1-2011,Jeep1,4.0,Metallic,831,Gas,4.0,auto,2.4,244067  kilometer,112,1803
772,toyota,my model which is Camry is the best,2014,Sedan,5.0,Jet Black,=,Electric Hybrid,4.0,others,2.5,203200 KM,1012,25089
6046,CHEVROLET,Cruze,2015,sedan,2.0,Pearl White,562,Gas,4.0,others,1.4 Turbo,88000  kilo,12,19444
9175,I love VAZ,I own Vesta.,2018,sedan,2.0,,-,Gas,6.0,auto,0,TOTAL 35000 km,12 count,15681
12201,I love HONDA,FIT,2014,WOOW Hatchback,-1.0,Metallic,\,Gas,4.0,auto,0,TOTAL 63300 km,4  ,23204
4586,TOYOTA,I have the fastest model ever.. yes you got it right it's Camry,2008,WOOW Sedan,3.0,Pearl White,-,Electric Hybrid,4.0 cyl,gear,2.4,0  kilometer,0,13485
11561,,I have the fastest model ever.. yes you got it right it's RX 450,2010,JEEP,2.0,,1399$,,6.0,auto,3.5,317470 km,112,220
17784,I love FORD,I own Taurus.,2013,Sedan,-1.0,Crimson,1055 pound,,4.0 cyl,,3.5,110439,4,26701
17092,HYUNDAI,I have the fastest model ever.. yes you got it right it's Sonata,2114,Sedan0,5.0,Metallic,639$,other,4.0,auto,2,384418,4,11604
2996,HONDA,INSIGHT,15years old,WOOW Hatchback,,Metallic,-,Electric Hybrid,4.0 cyl,AUTO,1.3,200000  kilo,2,10976
17639,ssangyong,ACTYON,,Jeep2,3.0,Pearl White,831 pound,Gas,4.0,auto,1.6,116074 km,4+,40926
12383,SSANGYONG is the best,REXTON,,JEEP,3.0,Jet Black,We were surprised by the hefty $765 levy on imported cars.,Dies,4.0,auto,2,153862  kilo,4#,36197
601,toyota,COROLLA VERSO,2007,Minivan,,,-,Dies,4.0,manual,2.2 Turbo,112000  kilo,1004,2509
8047,FORD is the best,,1-1-1998,WOOW Microbus,,Sapphire Blue,-,,6.0,manual,2.5 Turbo,111111 km,2,18817
12619,OPEL is the best,MONTEREY,1993,JEEP,2.0,Charcoal,-,Gas,6.0,auto,3.2,275652 km,2 count,8154
7200,I love DODGE,NEON,2000,SEDAN,,,-,Gas,4.0,auto,2,112300,4,2822
8450,HONDA,I own Civic.,2017,,,Charcoal,1017,,4.0 cyl,R,2,TOTAL 48291 km,4,47531
9602,KIA,,2015,SEDAN,0.0,Jet Black,441,,4.0 cyl,auto,2.4,70936,1012,627
13081,toyota,I have the fastest model ever.. yes you got it right it's Highlander limited,2010,Jeep,2.0,,-,Electric Hybrid,6.0,AUTO,3.3,317096 km,0 count,28225
9698,I love TOYOTA,I own Camry.,2017,sedan,1.0,Pearl White,1249 pound,Gas,4.0 cyl,auto,2.5,70232 km,12  ,470
12057,honda,I have the fastest model ever.. yes you got it right it's Hr-v EX,7years old,jeep,2.0,Jet Black,?,Gas,4.0 cyl,auto,0,19211  kilo,8,26500
12685,HYUNDAI,Elantra,2012,sedan,5.0,,10531,Gas,0,auto,1.6,115471 km,4  ,16618
8918,toyota,I own Highlander.,12years old,,2.0,Metallic,1058,,6.0,AUTO,3.5,205250 KM,12_,29479
14793,TOYOTA,I own Prius.,2012,HATCHBACK,,,-,Electric Hybrid,4.0,auto,0,212800 KM,ONLY 0 AIRBAG,19914
522,ford,ESCAPE,2008[,,5.0,Charcoal,289 pound,Electric Hybrid,0,others,0,220474  kilometer,0,282
13315,KIA,I own Sorento.,2010,jeep,3.0,,911,,0,others,2.2,74000  kilo,ONLY 4 AIRBAG,16308
10651,LEXUS,I have the fastest model ever.. yes you got it right it's ES 350,2015~,SEDAN,4.0,Pearl White,456 pound,Electric Hybrid,4.0,others,2.5,40386  kilometer,12,10192
7956,,I own Camry.,1-1-2006,Sedan,3.0,Jet Black,-,Gas,4.0 cyl,others,2.4,184000 KM,6,15681
5586,Volkswagen,GOLF,2011,HATCHBACK,5.0,Jet Black,707 pound,Dies,4.0 cyl,gear,2,TOTAL 129651 km,12,2352
2242,CHEVROLET,I own Volt.,6years old,sedan,0.0,Jet Black,400,,4.0,AUTO,1.5,70720,12 count,18817
11733,hyundai,H1,2014,minivan,5.0,Metallic,777$,Dies,4.0,auto,2.5,139905 km,4,36968
7050,SSANGYONG,Actyon,2010,JEEP,0.0,,10836,Dies,4.0,auto,2,268065  kilo,4,16741
13783,I love CHEVROLET,my model which is Malibu is the best,2012,SEDAN,1.0,Jet Black,-9358,Gas,4.0 cyl,AUTO,2,156743 km,4,20266
4804,hyundai,Sonata,1911,WOOW Sedan,5.0,Metallic,-,Electric Hybrid,4.0,auto,2.4,153321  kilo,-92,17249
14969,lexus,my model which is GX 460 is the best,2014,jeep,5.0,Metallic,1356 pound,Gas,0,gear,4.6,200402  kilo,0|,941
13041,I love BMW,X5,13years old,JEEP,,,-,Dies,6.0 cyl,others,0,263000 KM,12 bags,43905
15304,toyota,I have the fastest model ever.. yes you got it right it's RAV 4,2013/,jeep,4.0,,779,Gas,0,others,2.5,TOTAL 127000 km,10 bags,34497
12700,OPEL,VECTRA H,2007,SEDAN,5.0,Jet Black,-,,4.0 cyl,,1.9 Turbo,126000  kilo,2,8781
5974,subaru,Forester,2018,,0.0,Jet Black,~,Gas,4.0 cyl,auto,2.5,32435 km,12 bags,10663
5520,TOYOTA,,2012,hatchback,0.0,Metallic,-,Gas,4.0,auto,1.8,230400  kilo,ONLY 8 AIRBAG,18817
2216,I love MAZDA,I have the fastest model ever.. yes you got it right it's CX-9,2011,Sedan1,0.0,,1234$,Gas,16.0,R,3.7,134157  kilo,12 bags,549
2511,MERCEDES-BENZ,I own E 350.,,Sedan,3.0,,1604,Dies,8.0 cyl,R,5.5,101424 km,12 count,627
13561,,I have the fastest model ever.. yes you got it right it's Prius,11years old,SEDAN,,Jet Black,585$,Gas,4.0 cyl,gear,1.8,149000,0  ,10349
13071,HONDA,my model which is Insight is the best,2010=,Sedan,1.0,,574$,Electric Hybrid,0,R,1.3,140000  kilometer,8,7527
7405,TOYOTA is the best,I own RAV 4.,,JEEP,9.0,Pearl White,$,Gas,4.0 cyl,auto,2.5,94000 km,10,20385
1127,hyundai,I have the fastest model ever.. yes you got it right it's Sonata,,SEDAN,4.0,Metallic,We were surprised by the hefty $642 levy on imported cars.,other,0,auto,2,91416,1004,7683
9793,mercedes-benz,I own GLE 63 AMG.,2016,JEEP,0.0,,12297,,8.0,auto,5.5,17584 km,0,6272
11840,CADILLAC,I own CTS.,2016,sedan,2.0,Charcoal,-,Gas,4.0,auto,2.0 Turbo,29000  kilometer,10,12544
16757,hyundai,SONATA SE,9years old,WOOW Sedan,4.0,Metallic,900,Gas,4.0,auto,2.4,84000  kilo,12 count,17249
10314,,I have the fastest model ever.. yes you got it right it's X5 4.8is,2005,Jeep4,2.0,Metallic,3894,Gas,8.0,gear,4.8,147200 KM,112,31361
290,mercedes-benz,E 350 ამგ,,SEDAN,6.0,Jet Black,1055$,Gas,4.0 cyl,auto,3.5,156800  kilo,12.,37320
8010,TOYOTA is the best,I have the fastest model ever.. yes you got it right it's Camry,2009,sedan,4.0,Pearl White,-,Electric Hybrid,4.0,auto,2.4,0 km,12,13485
10605,nissan,I have the fastest model ever.. yes you got it right it's Juke,2017,JEEP,6.0,Pearl White,831 pound,Gas,4.0 cyl,auto,0,47533  kilo,ONLY 12 AIRBAG,27284
10926,CHEVROLET,I have the fastest model ever.. yes you got it right it's Malibu,2017,Sedan1,5.0,Sapphire Blue,-,Gas,4.0 cyl,auto,1.5 Turbo,53000 km,12 bags,23521
11274,,Cruze,2014,sedan,2.0,,584$,Gas,4.0 cyl,R,1.8,TOTAL 87685 km,0,12544
14777,I love OPEL,ZAFIRA,2003;,MINIVAN,1.0,Charcoal,-,Natural Gas,4.0,gear,1.6,197500 km,8,9408
10077,I love LEXUS,I own GX 460.,14years old,jeep,4.0,Metallic,I had to pay a substantial $1811 levy on my new car purchase.,Gas,8.0,auto,4.6,275240,0,15681
15165,CHEVROLET,I own Cruze LT.,2017,sedan,3.0,,738,Gas,4.0 cyl,others,0,49439  kilo,6,18033
11852,honda,my model which is FIT is the best,2014,WOOW Hatchback,1.0,,-9729,Electric Hybrid,4.0,others,1.5,81917  kilo,-96,10722
2729,Toyota,CHR,1-1-2019,JEEP,2.0,Sapphire Blue,",",,4.0,others,2,24339 KM,12,627
16585,BMW,X5,1-1-2011,Jeep1,3.0,Charcoal,-,Dies,16.0,gear,3,223000 km,12,37633
7255,Hyundai,Tucson,2012,jeep,3.0,,642 pound,Dies,14.0,auto,2,TOTAL 162300 km,4,28241
5491,ford,TOURNEO CONNECT,2012,goods wagon,2.0,,-,Dies,4.0,manual,1.8 Turbo,145000  kilo,ONLY 2 AIRBAG,14113
16615,BMW,X6,14years old,jeep,5.0,Charcoal,11736,Gas,8.0,others,4.4,0,12,1176
8273,HYUNDAI,Tucson,1-1-2017,jeep,8.0,Pearl White,|,Dies,4.0,gear,2,98847 km,4,43880
9826,INFINITI is the best,EX35,2008@,jeep,1.0,Sapphire Blue,-,Gas,6.0,auto,3.5,139200 KM,6  ,21639
6681,toyota,my model which is Camry is the best,2013,sedan,1.0,Metallic,779,Electric Hybrid,4.0,,2.5,232032 km,12,392
16048,,I have the fastest model ever.. yes you got it right it's Sonata,2015},Sedan1,5.0,Tangerine,10765,other,0,gear,2,498815  kilo,4 count,9252
12633,toyota,PRIUS,2018_,sedan,2.0,Pearl White,-,Electric Hybrid,4.0,others,1.8,5700 km,12,45473
14630,HYUNDAI,my model which is Sonata is the best,8years old,SEDAN,1.0,Tangerine,10891,other,4.0 cyl,others,2,596900,1004,5645
4236,hyundai,I own Sonata.,1-1-2017,SEDAN,1.0,Crimson,1202,Gas,14.0,others,2.4,0 KM,0  ,18503
10884,I love TOYOTA,my model which is Camry is the best,2018,sedan,-2.0,,<,Electric Hybrid,4.0,R,2.5,35058,12 bags,18817
276,hyundai,Sonata,2017,sedan,4.0,,481$,Electric Hybrid,14.0,others,2,TOTAL 107387 km,12,549
13382,I love PORSCHE,my model which is Cayenne S is the best,,jeep,,Jet Black,-,Gas,8.0 cyl,auto,4.5,315430,0 count,14500
4496,toyota,Camry,2014,Sedan4,3.0,,`,Electric Hybrid,4.0,,2.5,179381  kilo,12,11133
14674,,my model which is Jetta is the best,2014&,SEDAN,3.0,Metallic,639$,Dies,14.0,others,2,82392 KM,ONLY 12 AIRBAG,1568
8223,,FIT,2003,SEDAN,4.0,Jet Black,-,Gas,4.0,auto,1.3,0 km,6  ,5802
